FRE7261	News Analytics & Strategies	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6051	Insurance Finance and Actuarial Science	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6491	Credit Risk & Credit Derivative	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6611	Credit Derivatives	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6671	Global Finance	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6731	Basel 2 and Value At Risk	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6821	Financial Econometric Laboratory	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE5500	Bloomberg Certification	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6041	Risk Management in the Real World	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6231	Stochastic Calculus & Financial Modeling	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6351	Advanced Financial Econometrics	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE7801	Topics in Finance and Financial Markets I	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6811	Financial Software Laboratory	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6821	Financial Econometric Laboratory	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6831	Computational Finance Laboratory	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6861	Financial Software Engineering Laboratory	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE5500	Bloomberg Certification	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE7003	Financial Engineering Capstone: Thesis	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE7023	Financial Engineering Capstone: Internship	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE7043	Financial Engineering Capstone: Project	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6031	Money, Banking and Financial Markets	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6111	Investment Banking and Brokerage	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6131	Clearing and Settlement and Operational Risk	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6151	Foundations of Financial Technology	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6163	Life Contingencies II		EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6171	Management of Financial Institutions	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6191	Advanced Topics in Financial Technology	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6211	Financial Market Regulation	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6231	Stochastic Calculus & Financial Modeling	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6243	Credibility and Loss	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6251	Numerical & Simulation Techniques in Finance	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6271	Valuation of Equity Securities and Financial Statement Analysis	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6291	Options and Derivatives	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6311	Dynamic Assets and Options Pricing	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6321	Casualty I		EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6331	Financial Risk Management and Optimization	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6341	Casualty II	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6351	Advanced Financial Econometrics	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6371	Contract Economics	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
FRE6391	Advanced Corporate Finance: Mergers and Acquisitions	EFRE	Master	NYPOLY	123	XXXXXXXXX	2012-01-12
